            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460146.270833333, A.D. 2023-Jul-20 18:30:00.0000, -3.518435390568855E+05,  2.006970351742033E+05,  3.031053667899546E+04,
2460146.291666667, A.D. 2023-Jul-20 19:00:00.0000, -3.527011538484449E+05,  1.991804046012915E+05,  3.023099646881332E+04,
2460146.312500000, A.D. 2023-Jul-20 19:30:00.0000, -3.535519022764886E+05,  1.976599747860279E+05,  3.015086276289348E+04,
2460146.333333333, A.D. 2023-Jul-20 20:00:00.0000, -3.543957670661728E+05,  1.961357750104393E+05,  3.007013709509662E+04,
2460146.354166667, A.D. 2023-Jul-20 20:30:00.0000, -3.552327310549100E+05,  1.946078346220042E+05,  2.998882100945893E+04,
2460146.375000000, A.D. 2023-Jul-20 21:00:00.0000, -3.560627771925393E+05,  1.930761830333200E+05,  2.990691606017285E+04,
2460146.395833333, A.D. 2023-Jul-20 21:30:00.0000, -3.568858885414979E+05,  1.915408497217702E+05,  2.982442381156784E+04,
2460146.416666667, A.D. 2023-Jul-20 22:00:00.0000, -3.577020482769907E+05,  1.900018642291916E+05,  2.974134583809124E+04,
2460146.437500000, A.D. 2023-Jul-20 22:30:00.0000, -3.585112396871597E+05,  1.884592561615442E+05,  2.965768372428921E+04,
2460146.458333333, A.D. 2023-Jul-20 23:00:00.0000, -3.593134461732539E+05,  1.869130551885797E+05,  2.957343906478745E+04,
2460146.479166667, A.D. 2023-Jul-20 23:30:00.0000, -3.601086512497983E+05,  1.853632910435118E+05,  2.948861346427228E+04,
2460146.500000000, A.D. 2023-Jul-21 00:00:00.0000, -3.608968385447619E+05,  1.838099935226869E+05,  2.940320853747157E+04,
2460146.520833333, A.D. 2023-Jul-21 00:30:00.0000, -3.616779917997263E+05,  1.822531924852558E+05,  2.931722590913560E+04,
2460146.541666667, A.D. 2023-Jul-21 01:00:00.0000, -3.624520948700536E+05,  1.806929178528457E+05,  2.923066721401829E+04,
2460146.562500000, A.D. 2023-Jul-21 01:30:00.0000, -3.632191317250542E+05,  1.791291996092331E+05,  2.914353409685799E+04,
2460146.583333333, A.D. 2023-Jul-21 02:00:00.0000, -3.639790864481535E+05,  1.775620678000172E+05,  2.905582821235887E+04,
2460146.604166667, A.D. 2023-Jul-21 02:30:00.0000, -3.647319432370595E+05,  1.759915525322946E+05,  2.896755122517174E+04,
2460146.625000000, A.D. 2023-Jul-21 03:00:00.0000, -3.654776864039296E+05,  1.744176839743337E+05,  2.887870480987548E+04,
2460146.645833333, A.D. 2023-Jul-21 03:30:00.0000, -3.662163003755367E+05,  1.728404923552507E+05,  2.878929065095798E+04,
2460146.666666667, A.D. 2023-Jul-21 04:00:00.0000, -3.669477696934362E+05,  1.712600079646857E+05,  2.869931044279757E+04,
2460146.687500000, A.D. 2023-Jul-21 04:30:00.0000, -3.676720790141310E+05,  1.696762611524798E+05,  2.860876588964419E+04,
2460146.708333333, A.D. 2023-Jul-21 05:00:00.0000, -3.683892131092392E+05,  1.680892823283528E+05,  2.851765870560068E+04,
2460146.729166667, A.D. 2023-Jul-21 05:30:00.0000, -3.690991568656579E+05,  1.664991019615812E+05,  2.842599061460417E+04,
2460146.750000000, A.D. 2023-Jul-21 06:00:00.0000, -3.698018952857304E+05,  1.649057505806777E+05,  2.833376335040745E+04,
2460146.770833333, A.D. 2023-Jul-21 06:30:00.0000, -3.704974134874107E+05,  1.633092587730705E+05,  2.824097865656030E+04,
2460146.791666667, A.D. 2023-Jul-21 07:00:00.0000, -3.711856967044295E+05,  1.617096571847838E+05,  2.814763828639111E+04,
2460146.812500000, A.D. 2023-Jul-21 07:30:00.0000, -3.718667302864591E+05,  1.601069765201186E+05,  2.805374400298823E+04,
2460146.833333333, A.D. 2023-Jul-21 08:00:00.0000, -3.725404996992788E+05,  1.585012475413345E+05,  2.795929757918152E+04,
2460146.854166667, A.D. 2023-Jul-21 08:30:00.0000, -3.732069905249399E+05,  1.568925010683321E+05,  2.786430079752403E+04,
2460146.875000000, A.D. 2023-Jul-21 09:00:00.0000, -3.738661884619309E+05,  1.552807679783354E+05,  2.776875545027354E+04,
2460146.895833333, A.D. 2023-Jul-21 09:30:00.0000, -3.745180793253427E+05,  1.536660792055759E+05,  2.767266333937420E+04,
2460146.916666667, A.D. 2023-Jul-21 10:00:00.0000, -3.751626490470332E+05,  1.520484657409765E+05,  2.757602627643825E+04,
2460146.937500000, A.D. 2023-Jul-21 10:30:00.0000, -3.757998836757931E+05,  1.504279586318363E+05,  2.747884608272780E+04,
2460146.958333333, A.D. 2023-Jul-21 11:00:00.0000, -3.764297693775102E+05,  1.488045889815163E+05,  2.738112458913650E+04,
2460146.979166667, A.D. 2023-Jul-21 11:30:00.0000, -3.770522924353352E+05,  1.471783879491250E+05,  2.728286363617153E+04,
2460147.000000000, A.D. 2023-Jul-21 12:00:00.0000, -3.776674392498465E+05,  1.455493867492054E+05,  2.718406507393535E+04,
2460147.020833333, A.D. 2023-Jul-21 12:30:00.0000, -3.782751963392159E+05,  1.439176166514218E+05,  2.708473076210763E+04,
2460147.041666667, A.D. 2023-Jul-21 13:00:00.0000, -3.788755503393734E+05,  1.422831089802483E+05,  2.698486256992719E+04,
2460147.062500000, A.D. 2023-Jul-21 13:30:00.0000, -3.794684880041733E+05,  1.406458951146567E+05,  2.688446237617405E+04,
2460147.083333333, A.D. 2023-Jul-21 14:00:00.0000, -3.800539962055596E+05,  1.390060064878053E+05,  2.678353206915144E+04,
